Especie,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,Total
Tringa_melanoleuca_(Gmelin_1789),,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,1,,,2,,,,,,,,,,,2,3
Tringa_flavipes_(Gmelin_1789),,,68,,,,,,,,,,,68,,,,,,,,,,,,,,0,,,5,,,,,,,,,,,5,,,1,,,,,,,,,,,1,74
Jacana_jacana_(Linnaeus_1766),,,2,,,,,,,3,1,,10,16,,1,,,,,,2,,11,7,,10,31,,,18,,,2,,2,,3,15,0,5,45,,,4,,,,,,,,11,,,15,107
Rynchops_niger_Linnaeus_1758,,,294,5,,,,62,,63,1,16,,441,,,,,,,,10,,1,,,,11,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,0,454
Sternula_superciliaris_(Vieillot_1819),,,75,,,2,,2,3,39,,,,121,,1,,,,,1,1,,,5,,,8,,1,3,,1,,,,,,1,,,6,,1,1,4,,,,,,2,14,,,22,157
Phaetusa_simplex_(Gmelin_1789),,,267,1,,,3,24,10,75,2,72,1,455,,6,,,,,,5,,16,3,,,30,,,68,5,,,,7,,,,,,80,,,,,,,,1,,,,,,1,566
Eurypyga_helias_(Pallas_1781),,,,,,,,,,,,,,0,,,,,,,,1,,,2,,,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,3
Ciconia_maguari_(Gmelin_1789),,,,,,,,,,,,,3,3,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,10
Jabiru_mycteria_(Lichtenstein_1819),,2,,1,,,1,,,,1,,,5,,,3,,,,,,2,,,,5,10,,,2,,,,,,,2,,0,1,5,,,,,,,,,,,,,,0,20
Mycteria_americana_Linnaeus_1758,,,,,,,3,4,2,,,18,,27,96,1,,2,2,7,,,,,,,,108,1,,1,,,,1,,,,2,,,5,,,,,,,,,,,,,,0,140
Anhinga_anhinga_(Linnaeus_1766),,,,7,2,2,4,3,19,,3,31,1,72,,2,,,1,6,2,8,4,,,,1,24,,,,,2,2,5,3,3,4,4,2,,25,,,,,,3,1,1,2,,2,,,9,130
Nannopterum_brasilianum_(Gmelin_1789),,1,14,7,20,2,6,7,6,211,16,103,1,394,,2,,,,,21,3,5,4,9,,2,46,,,2,2,,,3,1,,13,3,15,,39,,,13,,,2,5,1,7,1,13,6,,48,527
Tigrisoma_lineatum_(Boddaert_1783),,,,,1,,,,1,,6,15,1,24,,,,,,,2,1,,,5,,1,9,,,,,,,1,,1,1,3,2,,8,,,,,,,,,,1,6,,,7,48
Cochlearius_cochlearius_(Linnaeus_1766),,,,,,,,5,,,,,,5,,,,,,,,,,,,,,0,,,,,,,6,,,,,,,6,,,,,,,,,,,,,,0,11
Botaurus_pinnatus_(Wagler_1829),,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,0,1
Nycticorax_nycticorax_(Linnaeus_1758),,,,,,,22,,1,,,17,,40,,,,2,,,,6,,,,,,8,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,48
Butorides_striata_(Linnaeus_1758),,,,,,,1,,8,,12,65,,86,,,,1,2,1,3,7,6,,7,,,27,,,,,,,2,1,3,,6,3,,15,,,,1,1,1,1,,3,,10,,,17,145
Bubulcus_ibis_(Linnaeus_1758),,,,,,,,,2,,,,3,5,,,,,,,,1,,2,,,4,7,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,13
Ardea_cocoi_Linnaeus_1766,,1,,5,6,2,11,1,6,4,9,35,2,82,,3,2,3,,9,12,8,3,7,4,,,51,,1,3,5,2,2,7,3,,18,15,2,2,60,,,1,2,1,,,2,,4,5,,8,23,216
Ardea_alba_Linnaeus_1758,,1,1,7,,1,12,8,4,6,3,40,1,84,,,,1,,,12,1,,1,,,1,16,,,4,3,,2,2,2,,5,1,1,1,21,,,53,,,3,1,2,3,1,7,,,70,191
Syrigma_sibilatrix_(Temminck_1824),,,3,,,,,1,,,,,,4,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,1,5
Pilherodius_pileatus_(Boddaert_1783),,,,,,,1,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,2
