"","Pontos","Righness","Shannon","Simpson","Evenness","Berger_Parker"
"27","Columbina_picui_(Temminck_1813)",10,1.961,0.816,0.852,0.333
"28","Guira_guira_(Gmelin_1788)",12,2.039,0.82,0.821,0.333
"29","Crotophaga_major_Gmelin_1788",22,2.323,0.842,0.752,0.333
"30","Crotophaga_ani_Linnaeus_1758",34,2.501,0.848,0.709,0.333
"31","Dromococcyx_phasianellus_(Spix_1824)",6,1.677,0.79,0.936,0.333
"32","Piaya_cayana_(Linnaeus_1766)",4,1.33,0.722,0.959,0.333
"33","Nyctidromus_albicollis_(Gmelin_1789)",6,1.684,0.793,0.94,0.333
"34","Nannochordeiles_pusillus_(Gould_1861)",3,1.099,0.667,1,0.333
"35","Podager_nacunda_(Vieillot_1817)",5,1.35,0.715,0.839,0.333
"36","Phaethornis_pretrei_(Lesson_&_Delattre_1839)",3,1.099,0.667,1,0.333
"37","Colibri_serrirostris_(Vieillot_1816)",3,1.099,0.667,1,0.333
"38","Eupetomena_macroura_(Gmelin_1788)",5,1.561,0.778,0.97,0.333
"39","Chionomesa_fimbriata_(Gmelin_1788)",10,2.009,0.823,0.872,0.333
"40","Aramus_guarauna_(Linnaeus_1766)",5,1.561,0.778,0.97,0.333
"41","Porphyrio_martinica_(Linnaeus_1766)",5,1.523,0.765,0.946,0.333
"42","Mustelirallus_albicollis_(Vieillot_1819)",3,1.099,0.667,1,0.333
"43","Aramides_cajaneus_(Statius_Muller_1776)",11,1.975,0.815,0.824,0.333
"44","Aramides_saracura_(Spix_1825)",3,1.099,0.667,1,0.333
"45","Gallinula_galeata_(Lichtenstein_1818)",4,1.311,0.716,0.946,0.333
"46","Vanellus_cayanus_(Latham_1790)",13,1.729,0.761,0.674,0.333
"47","Vanellus_chilensis_(Molina_1782)",32,2.471,0.849,0.713,0.333
"48","Charadrius_collaris_Vieillot_1818",14,1.708,0.756,0.647,0.333
"49","Himantopus_mexicanus_(Statius_Muller_1776)",7,1.747,0.798,0.898,0.333
"50","Himantopus_melanurus_Vieillot_1817",14,2.122,0.833,0.804,0.333
"51","Tringa_solitaria_Wilson_1813",6,1.633,0.778,0.911,0.333
"52","Tringa_melanoleuca_(Gmelin_1789)",5,1.523,0.765,0.946,0.333
"53","Tringa_flavipes_(Gmelin_1789)",7,1.311,0.7,0.673,0.333
"54","Jacana_jacana_(Linnaeus_1766)",22,2.365,0.844,0.765,0.333
"55","Rynchops_niger_Linnaeus_1758",13,1.523,0.733,0.594,0.333
"56","Sternula_superciliaris_(Vieillot_1819)",23,1.914,0.787,0.61,0.333
"57","Phaetusa_simplex_(Gmelin_1789)",22,1.885,0.784,0.61,0.333
"58","Eurypyga_helias_(Pallas_1781)",4,1.311,0.716,0.946,0.333
"59","Ciconia_maguari_(Gmelin_1789)",5,1.506,0.76,0.936,0.333
"60","Jabiru_mycteria_(Lichtenstein_1819)",14,2.162,0.832,0.819,0.333
"61","Mycteria_americana_Linnaeus_1758",17,1.724,0.764,0.609,0.333
"62","Anhinga_anhinga_(Linnaeus_1766)",34,2.428,0.836,0.689,0.333
"63","Nannopterum_brasilianum_(Gmelin_1789)",39,2.149,0.801,0.587,0.333
"64","Tigrisoma_lineatum_(Boddaert_1783)",21,2.273,0.835,0.747,0.333
"65","Cochlearius_cochlearius_(Linnaeus_1766)",5,1.558,0.777,0.968,0.333
"66","Botaurus_pinnatus_(Wagler_1829)",3,1.099,0.667,1,0.333
"67","Nycticorax_nycticorax_(Linnaeus_1758)",8,1.648,0.769,0.793,0.333
"68","Butorides_striata_(Linnaeus_1758)",27,2.195,0.818,0.666,0.333
"69","Bubulcus_ibis_(Linnaeus_1758)",10,1.955,0.817,0.849,0.333
"70","Ardea_cocoi_Linnaeus_1766",43,2.608,0.85,0.693,0.333
"71","Ardea_alba_Linnaeus_1758",37,2.352,0.835,0.651,0.333
"72","Syrigma_sibilatrix_(Temminck_1824)",6,1.582,0.764,0.883,0.333
"73","Pilherodius_pileatus_(Boddaert_1783)",5,1.561,0.778,0.97,0.333
"74","Egretta_thula_(Molina_1782)",22,2.149,0.815,0.695,0.333
"75","Egretta_caerulea_(Linnaeus_1758)",11,1.888,0.79,0.787,0.333
"76","Plegadis_chihi_(Vieillot_1817)",3,1.099,0.667,1,0.333
"77","Mesembrinibis_cayennensis_(Gmelin_1789)",16,1.706,0.757,0.615,0.333
"78","Phimosus_infuscatus_(Lichtenstein_1823)",16,1.864,0.792,0.672,0.333
"79","Theristicus_caerulescens_(Vieillot_1817)",5,1.523,0.765,0.946,0.333
"80","Theristicus_caudatus_(Boddaert_1783)",22,2.355,0.843,0.762,0.333
"81","Platalea_ajaja_Linnaeus_1758",12,1.945,0.821,0.783,0.333
"82","Coragyps_atratus_(Bechstein_1793)",40,2.444,0.846,0.663,0.333
"83","Cathartes_aura_(Linnaeus_1758)",15,2.176,0.836,0.803,0.333
"84","Cathartes_burrovianus_Cassin_1845",17,2.211,0.83,0.78,0.333
"85","Pandion_haliaetus_(Linnaeus_1758)",9,1.909,0.812,0.869,0.333
"86","Busarellus_nigricollis_(Latham_1790)",18,2.359,0.848,0.816,0.333
